name,lat,lon,status,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
宇和海中学校,33.170271,132.465004,,38203,宇和海中学校,愛媛県宇和島市下波2952番地1,一時避難場所,13298,13298,0,0,0,0,0,1,1,,33.170271,132.465004,843
宇和青果玉津共同選果場,33.31859135,132.5181942,,38203,宇和青果玉津共同選果場,愛媛県宇和島市吉田町法花津6-78-2,一時避難場所,820,-1,0,0,0,0,0,1,3,,33.31859135,132.5181942,844
宇和青果味楽共同選果場,33.29493174,132.5407077,,38203,宇和青果味楽共同選果場,愛媛県宇和島市吉田町立間2-2222,一時避難場所,8000,-1,0,0,0,0,0,1,3,,33.29493174,132.5407077,845
宇和津グリーンタウン前の広場,33.20681189,132.5690079,,38203,宇和津グリーンタウン前の広場,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.20681189,132.5690079,846
宇和津小学校,33.212019,132.568298,,38203,宇和津小学校,愛媛県宇和島市妙典寺前乙640番地,一時避難場所、津波一時避難場所,4600,4600,0,0,0,0,0,1,1,,33.212019,132.568298,847
宇和津彦神社境内,33.21514643,132.5731701,,38203,宇和津彦神社境内,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.21514643,132.5731701,848
宇和島看護専門学校,33.235109,132.57304,,38203,宇和島看護専門学校,愛媛県宇和島市伊吹町594番地3,収容施設,1141,2282,0,0,0,0,0,1,3,,33.235109,132.57304,849
宇和島市勤労青少年ホーム,33.231159,132.572804,,38203,宇和島市勤労青少年ホーム,愛媛県宇和島市和霊東町3丁目1番1号,収容施設,336,673,0,0,0,0,0,1,3,,33.231159,132.572804,850
宇和島市国民健康保険遊子診療所,33.19346452,132.4550299,,38203,宇和島市国民健康保険遊子診療所,愛媛県宇和島市遊子3627番地,収容施設,232,465,0,0,0,0,0,1,3,,33.19346452,132.4550299,851
宇和島市番城福祉会館,33.20344076,132.554379,,38203,宇和島市番城福祉会館,愛媛県宇和島市寄松171番地2,収容施設,199,399,0,0,0,0,0,1,3,,33.20344076,132.554379,852
